Destination,Location,Cost,Duration,Category,Rating
Ladakh,Delhi,,2.0,Mountain,
Goa,Ladakh,6316.0,6.0,Adventure,
Jaipur,Kerala,3849.0,6.0,Nature,3.6
Agra,Ladakh,,7.0,city,
Goa,Goa,11369.0,,Adventure,
Pune,Delhi,6489.0,,City,
Mumbai,Goa,8589.0,4.0,Beach,
Jaipur,Kerala,10203.0,,Nature,4.2
Ladakh,Delhi,,7.0,Adventure,
Mumbai,Maharashtra,,7.0,Adventure,3.5
Delhi,UP,5533.0,,Mountain,3.6
Delhi,Delhi,,1.0,Beach,3.8
Ladakh,Ladakh,8562.0,,Nature,
Shimla,Ladakh,9996.0,2.0,city,3.7
Kerala,Maharashtra,10097.0,4.0,Adventure,4.1
Kerala,Delhi,,,Adventure,3.8
Manali,Himachal,7261.0,,city,
Goa,Ladakh,14834.0,4.0,Nature,
Ladakh,UP,,5.0,City,
Kerala,UP,4134.0,,Adventure,4.6
Mumbai,Rajasthan,,,City,3.6
Pune,Himachal,8218.0,,city,
Shimla,UP,,,city,4.6
Manali,Ladakh,4704.0,3.0,Adventure,
Agra,Maharashtra,4587.0,,city,
Manali,Himachal,7127.0,,HISTORICAL,3.6
Manali,UP,,4.0,Nature,
Ladakh,Himachal,7235.0,,Mountain,
Kerala,Kerala,,5.0,city,
Pune,Ladakh,,7.0,Nature,4.7
Shimla,Delhi,6430.0,,HISTORICAL,
Pune,UP,,2.0,HISTORICAL,
Delhi,Himachal,6325.0,,Historical,4.6
Kerala,Delhi,3760.0,5.0,Nature,4.7
Manali,Delhi,14044.0,6.0,Nature,
Shimla,Rajasthan,,6.0,Adventure,
Kerala,Goa,12779.0,1.0,city,
Pune,Delhi,,,HISTORICAL,
Kerala,Rajasthan,,,HISTORICAL,3.7
Mumbai,Ladakh,,6.0,City,4.3
Shimla,Delhi,,1.0,Adventure,
Mumbai,UP,13778.0,,Mountain,4.5
Goa,Delhi,,,HISTORICAL,
Kerala,Ladakh,11666.0,7.0,city,
Mumbai,Ladakh,7114.0,,city,4.3
Ladakh,Delhi,,4.0,Mountain,4.0
Manali,UP,3411.0,6.0,Nature,
Jaipur,Delhi,,,city,4.8
Ladakh,Kerala,,1.0,Historical,
Shimla,Kerala,8289.0,,city,3.6
Manali,Rajasthan,,3.0,HISTORICAL,
Agra,Goa,,5.0,Historical,4.4
Manali,Rajasthan,8244.0,6.0,city,
Ladakh,Rajasthan,,5.0,Adventure,
Agra,Goa,3830.0,6.0,City,4.1
Goa,Ladakh,6431.0,2.0,Adventure,4.1
Mumbai,Himachal,3128.0,1.0,Historical,3.6
Manali,Goa,11332.0,,Historical,
Delhi,Maharashtra,,4.0,HISTORICAL,
Pune,Ladakh,3843.0,,Historical,
Jaipur,Maharashtra,,,Beach,
Kerala,Delhi,,3.0,HISTORICAL,4.2
Ladakh,Goa,6002.0,2.0,Mountain,
Ladakh,Delhi,,5.0,Historical,
Mumbai,Himachal,14044.0,,HISTORICAL,4.6
Jaipur,Himachal,11019.0,,city,4.7
Jaipur,UP,,6.0,Adventure,4.8
Goa,Ladakh,,2.0,City,
Shimla,Kerala,6308.0,,Adventure,
Manali,Kerala,3481.0,2.0,city,
Mumbai,Kerala,12292.0,,city,4.5
Goa,Kerala,14746.0,,HISTORICAL,3.9
Goa,Ladakh,,7.0,Nature,
Kerala,UP,8713.0,6.0,Historical,
Ladakh,Delhi,4839.0,7.0,Beach,4.7
Delhi,Delhi,4148.0,,city,
Goa,Maharashtra,,4.0,city,
Shimla,Goa,13064.0,3.0,city,
Ladakh,Himachal,,2.0,Mountain,4.4
Delhi,Goa,14428.0,2.0,Beach,3.8
Delhi,UP,,,Mountain,3.9
Agra,Rajasthan,,,city,
Agra,Ladakh,,1.0,City,4.6
Manali,Rajasthan,,6.0,HISTORICAL,
Jaipur,Goa,13360.0,4.0,city,
Kerala,Ladakh,4401.0,,HISTORICAL,4.0
Jaipur,Kerala,,2.0,city,
Manali,Kerala,7481.0,3.0,Beach,
Jaipur,Ladakh,13240.0,,Mountain,
Manali,Ladakh,,,Historical,
Delhi,Ladakh,4347.0,,Beach,4.6
Goa,Rajasthan,,,city,
Goa,Maharashtra,,,city,4.3
Jaipur,Maharashtra,3520.0,,HISTORICAL,
Shimla,Goa,8665.0,2.0,HISTORICAL,
Shimla,Goa,10596.0,5.0,Historical,3.9
Pune,Kerala,6807.0,,City,4.6
Delhi,Goa,6699.0,2.0,City,
Jaipur,Ladakh,,,Nature,4.4
Shimla,Goa,,,Nature,
Goa,Goa,,,Adventure,
Jaipur,Delhi,,4.0,city,4.3
Ladakh,Kerala,12627.0,7.0,Nature,
Delhi,Goa,10597.0,4.0,Beach,
Delhi,Kerala,6561.0,6.0,Beach,4.6
Pune,Ladakh,,,Historical,
Kerala,Himachal,7253.0,2.0,Mountain,
Manali,Goa,11384.0,2.0,Beach,3.9
Shimla,Maharashtra,4109.0,6.0,City,5.0
Delhi,Maharashtra,9974.0,3.0,Historical,4.6
Shimla,Goa,,1.0,Mountain,4.1
Agra,Himachal,,7.0,HISTORICAL,
Ladakh,Maharashtra,4282.0,5.0,city,
Goa,Himachal,,3.0,City,4.3
Jaipur,Himachal,,4.0,HISTORICAL,
Manali,Ladakh,7018.0,1.0,Adventure,4.7
Delhi,Rajasthan,10530.0,,Mountain,
Agra,Himachal,12750.0,3.0,City,3.7
Goa,Kerala,13983.0,2.0,Adventure,
Manali,Kerala,,,Historical,
Kerala,Himachal,,,city,4.1
Delhi,Ladakh,,1.0,city,4.0
Agra,Ladakh,8695.0,,Nature,
Agra,Ladakh,14135.0,2.0,City,
Shimla,Goa,,5.0,city,3.9
Shimla,UP,13465.0,2.0,Beach,
Delhi,Himachal,,2.0,Nature,3.6
Goa,Himachal,13447.0,5.0,city,
Mumbai,UP,10170.0,,Historical,4.2
Delhi,UP,,6.0,Historical,
Kerala,Rajasthan,10884.0,,City,
Goa,Maharashtra,,7.0,Nature,
Manali,Delhi,6910.0,,city,
Manali,Rajasthan,14091.0,,Beach,3.6
Goa,UP,4977.0,4.0,HISTORICAL,
Ladakh,Maharashtra,3839.0,1.0,HISTORICAL,
Mumbai,Himachal,3424.0,7.0,Mountain,
Manali,Himachal,,5.0,Beach,3.5
Agra,Kerala,,2.0,Nature,4.4
Pune,Rajasthan,9113.0,,Adventure,
Ladakh,Kerala,,,City,
Kerala,Maharashtra,,5.0,City,4.4
Kerala,Ladakh,9346.0,,Mountain,4.6
Ladakh,UP,3713.0,5.0,Nature,
Ladakh,Himachal,,,City,
Goa,Goa,9621.0,,city,
Mumbai,Delhi,,4.0,City,
Ladakh,Delhi,5631.0,4.0,Adventure,
Agra,Himachal,13410.0,1.0,city,
Mumbai,Goa,12563.0,2.0,Historical,
Pune,Delhi,,,Mountain,3.7
Mumbai,UP,9840.0,4.0,Nature,4.6
Mumbai,Delhi,,6.0,city,4.6
Ladakh,Maharashtra,,7.0,HISTORICAL,
Kerala,UP,,,Mountain,3.7
Kerala,Delhi,3214.0,,Adventure,3.9
Manali,Delhi,3880.0,,HISTORICAL,
Pune,Maharashtra,12241.0,,Beach,
Goa,Goa,5970.0,2.0,Historical,
Kerala,Ladakh,,,HISTORICAL,
Delhi,Maharashtra,9189.0,2.0,City,
Manali,Goa,,,City,
Shimla,Himachal,,4.0,Mountain,4.6
Shimla,Delhi,5879.0,,Mountain,
Agra,Maharashtra,6827.0,,Mountain,
Manali,UP,,,City,3.6
Delhi,Rajasthan,12602.0,2.0,city,4.4
Manali,Ladakh,12545.0,,Nature,
Delhi,UP,7143.0,,Adventure,
Kerala,Kerala,,7.0,HISTORICAL,
Kerala,Ladakh,14593.0,1.0,Historical,4.0
Manali,Goa,,1.0,Nature,
Kerala,Ladakh,,1.0,Adventure,
Agra,Maharashtra,,,Mountain,
Pune,Goa,,,city,3.6
Manali,Goa,,,Adventure,3.5
Mumbai,UP,12049.0,5.0,Beach,
Jaipur,Kerala,12513.0,,Beach,3.9
Goa,Delhi,7998.0,,HISTORICAL,
Pune,Himachal,,,city,4.6
Mumbai,Rajasthan,,6.0,Mountain,4.8
Agra,Kerala,14605.0,,Historical,4.2
Jaipur,Delhi,6985.0,,Nature,
Shimla,Delhi,10459.0,2.0,HISTORICAL,4.0
Jaipur,Himachal,,,Mountain,4.4
Kerala,Kerala,10833.0,,Adventure,4.3
Agra,Maharashtra,,6.0,city,4.0
Delhi,Kerala,,,city,5.0
Agra,Kerala,,1.0,Mountain,4.3
Ladakh,Rajasthan,8843.0,3.0,Historical,
Mumbai,Delhi,14753.0,,Adventure,
Ladakh,UP,,,Nature,4.2
Manali,Maharashtra,11342.0,7.0,city,4.9
Shimla,Goa,9635.0,2.0,City,
Ladakh,Ladakh,5296.0,6.0,HISTORICAL,
Kerala,Himachal,,2.0,Adventure,4.9
Agra,UP,,2.0,Mountain,
Mumbai,Maharashtra,10744.0,,HISTORICAL,
Pune,UP,9113.0,,Adventure,
Ladakh,Delhi,13382.0,,Mountain,
Shimla,Maharashtra,9719.0,,Beach,
Goa,Kerala,,,Nature,
Delhi,Goa,,1.0,Beach,3.9
Agra,Rajasthan,,,Adventure,
Agra,Rajasthan,,3.0,Mountain,
Ladakh,Rajasthan,6847.0,5.0,Adventure,
Shimla,UP,,,Historical,
Mumbai,Delhi,8201.0,1.0,Historical,4.9
Manali,Maharashtra,,,Beach,4.3
Shimla,Maharashtra,,3.0,city,4.3
Kerala,Himachal,,,City,4.9
Goa,Kerala,3400.0,,Nature,
Agra,UP,9307.0,,Nature,
Shimla,Maharashtra,,,City,
Shimla,Delhi,,7.0,Beach,
Pune,Ladakh,10359.0,7.0,HISTORICAL,
Shimla,Delhi,,,Beach,3.6
Jaipur,Delhi,,3.0,HISTORICAL,
Shimla,Ladakh,,,Historical,
Manali,Goa,14177.0,,Historical,
Agra,Goa,13313.0,3.0,City,
Pune,Himachal,,,Adventure,
Mumbai,Kerala,4681.0,4.0,Historical,
Manali,UP,10607.0,,Adventure,
Kerala,Delhi,4146.0,,city,4.3
Ladakh,UP,,,Beach,
Jaipur,Goa,,,Adventure,4.4
Pune,Himachal,12590.0,,HISTORICAL,
Agra,Himachal,5452.0,5.0,Historical,
Agra,UP,14488.0,4.0,HISTORICAL,5.0
Kerala,Delhi,9690.0,4.0,Nature,
Manali,Delhi,7821.0,,City,
Mumbai,Rajasthan,,3.0,Adventure,
Kerala,Kerala,,,Beach,
Kerala,Maharashtra,,5.0,Beach,4.5
Jaipur,UP,11686.0,3.0,City,3.8
Goa,Ladakh,,,HISTORICAL,3.5
Agra,UP,13086.0,,Beach,
Agra,Goa,7129.0,,HISTORICAL,4.1
Shimla,Delhi,11646.0,5.0,HISTORICAL,
Mumbai,UP,9666.0,,Historical,4.5
Agra,UP,,7.0,City,4.2
Jaipur,UP,13424.0,5.0,Adventure,3.7
Manali,Goa,,,Beach,3.7
Manali,UP,,2.0,Mountain,
Mumbai,Delhi,6404.0,,HISTORICAL,3.5
Manali,Rajasthan,6766.0,7.0,Adventure,4.6
Kerala,Delhi,6613.0,5.0,city,3.9
Ladakh,Rajasthan,,1.0,HISTORICAL,4.9
Ladakh,Himachal,6031.0,2.0,City,
Goa,Kerala,,6.0,Mountain,
Goa,Himachal,11836.0,,Adventure,
Pune,Rajasthan,,6.0,Nature,
Agra,Delhi,3329.0,,City,
Goa,Goa,,,Adventure,
Ladakh,Kerala,7335.0,,City,4.6
Goa,Kerala,10084.0,,Adventure,3.9
Jaipur,Ladakh,,6.0,Historical,
Manali,Goa,,4.0,city,4.4
Pune,Rajasthan,11532.0,,Mountain,
Kerala,Ladakh,,2.0,City,3.6
Pune,Ladakh,7895.0,2.0,Adventure,4.5
Jaipur,Ladakh,13715.0,4.0,HISTORICAL,4.5
Shimla,Rajasthan,,,city,
Shimla,Maharashtra,11409.0,3.0,City,3.9
Agra,Goa,13140.0,,Beach,3.7
Delhi,Delhi,3231.0,7.0,City,4.8
Mumbai,Goa,10235.0,5.0,Nature,3.8
Delhi,Ladakh,,,HISTORICAL,
Ladakh,Rajasthan,8106.0,,City,
Pune,Himachal,,,Beach,
Manali,Maharashtra,4122.0,3.0,Historical,4.2
Shimla,Rajasthan,11088.0,3.0,city,
Delhi,Delhi,6300.0,,City,
Jaipur,Rajasthan,,1.0,Mountain,3.6
Shimla,Goa,,,Mountain,
Manali,Maharashtra,,6.0,Beach,3.9
Agra,UP,8520.0,,Mountain,4.2
Kerala,Ladakh,,,Mountain,4.2
Pune,Himachal,9257.0,,Adventure,
Goa,Delhi,12537.0,,City,
Shimla,Maharashtra,,,Mountain,4.9
Kerala,UP,6640.0,5.0,HISTORICAL,
Delhi,Delhi,5100.0,,City,
Mumbai,Himachal,,7.0,Mountain,4.5
Goa,Goa,,5.0,Adventure,4.5
Jaipur,Rajasthan,12982.0,5.0,Beach,
Pune,Kerala,,,city,
Jaipur,Ladakh,,,Nature,
Goa,Delhi,,5.0,Beach,4.5
Manali,Rajasthan,10042.0,4.0,HISTORICAL,
Jaipur,Ladakh,5998.0,3.0,Historical,
Manali,Goa,5975.0,,City,
Mumbai,Delhi,,,city,4.8
Pune,Himachal,13540.0,1.0,HISTORICAL,3.9
Delhi,Kerala,14382.0,1.0,HISTORICAL,4.3
Shimla,Rajasthan,5559.0,2.0,Beach,
Shimla,Maharashtra,14366.0,,Nature,3.8
Pune,UP,8965.0,,HISTORICAL,
Agra,Rajasthan,8659.0,7.0,city,
Ladakh,Delhi,,,Adventure,4.4
Mumbai,Delhi,14245.0,,Beach,4.8
Delhi,Kerala,,3.0,Mountain,4.3
Pune,Goa,,4.0,Mountain,5.0
Pune,Delhi,5528.0,1.0,Historical,3.8
Ladakh,Delhi,4798.0,2.0,HISTORICAL,
Delhi,Maharashtra,12723.0,1.0,Nature,
Kerala,Himachal,9921.0,,city,
Ladakh,Maharashtra,4105.0,,Mountain,4.8
Pune,Ladakh,14290.0,5.0,Adventure,3.6
Pune,Rajasthan,,1.0,HISTORICAL,
Goa,Ladakh,,,Mountain,4.4
Delhi,Ladakh,,,HISTORICAL,3.9
Goa,UP,,5.0,City,
Mumbai,Rajasthan,14239.0,2.0,Nature,
Goa,Himachal,8542.0,,City,4.7
Goa,UP,,,Beach,4.9
Pune,Maharashtra,13398.0,5.0,City,
Delhi,Ladakh,,,City,
Shimla,UP,9202.0,,Nature,
Kerala,Kerala,10605.0,,Beach,4.5
Goa,Ladakh,8371.0,4.0,Nature,
Jaipur,Delhi,8937.0,,Historical,
Agra,Rajasthan,,2.0,HISTORICAL,4.5
Ladakh,Delhi,,3.0,Beach,
Ladakh,Kerala,10872.0,1.0,Adventure,4.5
Mumbai,Rajasthan,,,Nature,
Agra,Maharashtra,5636.0,4.0,HISTORICAL,4.3
Goa,Ladakh,,,HISTORICAL,3.7
Agra,Rajasthan,,,Historical,
Ladakh,UP,,2.0,HISTORICAL,
Shimla,UP,8228.0,,City,3.7
Shimla,Kerala,,4.0,HISTORICAL,3.7
Mumbai,Rajasthan,,3.0,Adventure,
Shimla,Himachal,4629.0,,Mountain,
Goa,Kerala,,5.0,Mountain,
Shimla,Goa,5218.0,,city,4.5
Delhi,Goa,,,City,4.8
Delhi,Maharashtra,4299.0,1.0,Adventure,3.9
Delhi,Delhi,,7.0,Adventure,4.3
Mumbai,Kerala,,6.0,Historical,4.3
Goa,UP,,,HISTORICAL,
Kerala,Goa,3869.0,5.0,City,4.6
Delhi,Rajasthan,,,Adventure,
Mumbai,Himachal,3168.0,5.0,Mountain,
Shimla,UP,,,Nature,
Manali,Rajasthan,,,Mountain,4.2
Jaipur,Delhi,,3.0,City,
Shimla,Himachal,8618.0,6.0,HISTORICAL,5.0
Kerala,Ladakh,3575.0,,Mountain,4.2
Pune,UP,,7.0,city,4.1
Ladakh,UP,,7.0,Beach,4.1
Ladakh,UP,4641.0,,city,4.3
Delhi,Himachal,,3.0,Beach,4.3
Mumbai,Rajasthan,6253.0,,Historical,4.3
Pune,Kerala,3201.0,1.0,city,
Delhi,Delhi,6095.0,6.0,Historical,
Mumbai,Kerala,14378.0,3.0,City,4.3
Jaipur,Rajasthan,13790.0,,Mountain,
Shimla,UP,11564.0,6.0,Adventure,
Goa,Rajasthan,5560.0,2.0,Nature,4.3
Agra,Kerala,,7.0,Historical,4.1
Ladakh,Himachal,,,City,
Manali,Kerala,9418.0,7.0,Adventure,4.1
Agra,Kerala,4385.0,,City,3.9
Goa,Goa,4145.0,5.0,Nature,
Jaipur,Himachal,,3.0,Nature,
Shimla,Kerala,4622.0,,Nature,3.5
Kerala,Goa,,,Historical,
Kerala,Kerala,7304.0,4.0,Historical,4.8
Pune,Maharashtra,,,HISTORICAL,
Goa,Goa,,3.0,City,
Pune,Maharashtra,,,Adventure,4.2
Pune,Ladakh,,5.0,HISTORICAL,
Pune,Goa,13288.0,,Adventure,4.6
Ladakh,UP,,3.0,Adventure,4.1
Shimla,Rajasthan,4968.0,4.0,Beach,4.0
Delhi,Maharashtra,,,Historical,4.8
Ladakh,Goa,8227.0,,Historical,3.8
Jaipur,Himachal,4005.0,,Nature,
Ladakh,Kerala,4313.0,4.0,Beach,3.8
Ladakh,UP,13189.0,6.0,HISTORICAL,
Mumbai,UP,6824.0,7.0,City,3.8
Shimla,Maharashtra,3498.0,,HISTORICAL,
Agra,Kerala,3628.0,,Historical,4.0
Manali,Himachal,14313.0,,Adventure,
Ladakh,Goa,6758.0,4.0,Historical,
Goa,Maharashtra,12646.0,5.0,City,4.2
Jaipur,Delhi,,1.0,city,
Pune,Kerala,6659.0,,Beach,
Jaipur,Goa,,,Adventure,
Delhi,Maharashtra,,,Mountain,3.9
Goa,Delhi,,1.0,City,3.9
Jaipur,Goa,12442.0,,Historical,
Shimla,Himachal,,6.0,Mountain,
Mumbai,Delhi,,,City,3.5
Pune,Kerala,,,Adventure,3.9
Delhi,Kerala,,,Nature,3.8
Agra,Kerala,11459.0,4.0,City,4.0
Kerala,Delhi,,5.0,Historical,
Pune,UP,5658.0,,Adventure,4.6
Mumbai,Maharashtra,8913.0,,Nature,4.8
Pune,Delhi,11619.0,7.0,Nature,4.1
Shimla,Goa,,,Adventure,4.5
Ladakh,Himachal,3437.0,4.0,Nature,
Kerala,Rajasthan,,2.0,city,
Mumbai,Kerala,,5.0,City,3.7
Agra,UP,10312.0,7.0,Beach,3.6
Goa,Himachal,,1.0,HISTORICAL,4.8
Pune,Himachal,,3.0,City,4.3
Manali,Delhi,14269.0,2.0,Nature,4.7
Jaipur,Delhi,12585.0,,HISTORICAL,
Mumbai,UP,7576.0,4.0,HISTORICAL,
Jaipur,Goa,3616.0,1.0,Adventure,4.8
Jaipur,Himachal,,,City,3.7
Kerala,Himachal,13002.0,5.0,Historical,
Mumbai,Himachal,,2.0,city,3.8
Jaipur,Rajasthan,8620.0,2.0,Beach,4.0
Delhi,Goa,12729.0,,HISTORICAL,4.9
Shimla,Ladakh,,,City,
Kerala,Goa,,,City,3.6
Shimla,Goa,,5.0,Mountain,4.6
Agra,Delhi,14766.0,4.0,Mountain,4.9
Manali,Kerala,,6.0,city,
Delhi,Himachal,,,Beach,3.7
Kerala,Kerala,4445.0,3.0,Beach,4.1
Mumbai,Kerala,,6.0,Nature,4.2
Mumbai,Goa,,2.0,Adventure,3.8
Pune,UP,13578.0,7.0,Adventure,
Pune,UP,10800.0,2.0,Historical,
Pune,Kerala,,,Nature,
Ladakh,UP,,2.0,Historical,4.9
Kerala,Delhi,,1.0,city,5.0
Manali,Maharashtra,,7.0,Adventure,3.8
Manali,Ladakh,,7.0,HISTORICAL,3.6
Manali,UP,10982.0,,Nature,
Pune,Kerala,,,HISTORICAL,
Manali,Rajasthan,6503.0,,Nature,4.3
Delhi,UP,,5.0,Historical,
Shimla,Kerala,,1.0,city,
Ladakh,Kerala,,,city,
Jaipur,Delhi,,,city,3.9
Manali,Maharashtra,11745.0,2.0,Beach,
Goa,Delhi,,,city,4.6
Ladakh,Himachal,,,Historical,
Agra,Maharashtra,6407.0,,HISTORICAL,
Pune,UP,9569.0,7.0,City,
Goa,Himachal,,,Historical,4.9
Pune,Goa,11535.0,6.0,Nature,
Mumbai,Ladakh,4202.0,,Adventure,
Pune,Himachal,10191.0,,Adventure,4.5
Agra,UP,10771.0,3.0,Mountain,
Delhi,Delhi,11738.0,7.0,city,4.6
Ladakh,Ladakh,8192.0,,HISTORICAL,3.6
Kerala,UP,6566.0,,Beach,3.9
Delhi,Ladakh,,5.0,city,
Shimla,Himachal,,,Mountain,3.5
Agra,Maharashtra,11904.0,6.0,Adventure,
Shimla,Delhi,,,Historical,
Jaipur,Himachal,5133.0,7.0,Nature,4.6
Agra,UP,6779.0,1.0,HISTORICAL,
Kerala,Kerala,,,city,
Mumbai,Goa,,,HISTORICAL,3.8
Goa,Goa,4392.0,,City,3.8
Mumbai,Rajasthan,8960.0,,Adventure,
Manali,Goa,,,Mountain,3.7
Pune,Delhi,6767.0,3.0,Beach,4.5
Manali,Kerala,6738.0,3.0,Nature,3.6
Agra,Ladakh,,,HISTORICAL,
Goa,Maharashtra,10285.0,,Adventure,
Agra,Ladakh,5542.0,6.0,HISTORICAL,3.8
Pune,Delhi,6995.0,,HISTORICAL,3.5
Goa,Ladakh,10878.0,7.0,Beach,4.1
Jaipur,UP,,,City,4.5
Pune,UP,,6.0,City,
Mumbai,Ladakh,7289.0,,Mountain,
Agra,Delhi,10883.0,2.0,city,
Manali,Ladakh,5364.0,,Nature,3.9
Mumbai,Ladakh,8071.0,4.0,Nature,
Jaipur,Kerala,,,HISTORICAL,
Kerala,Rajasthan,,,HISTORICAL,
Shimla,Maharashtra,,6.0,HISTORICAL,4.3
Delhi,Delhi,9087.0,,Mountain,
Agra,UP,3413.0,3.0,Historical,
Ladakh,Delhi,,3.0,city,
Kerala,Goa,14263.0,,city,
Mumbai,Maharashtra,,,Adventure,
Delhi,Maharashtra,11382.0,4.0,City,4.9
Manali,Ladakh,3013.0,,Beach,3.8
Mumbai,Goa,,,City,
Delhi,Himachal,9508.0,,City,4.0
Jaipur,Goa,12005.0,,Beach,
Kerala,Rajasthan,,4.0,Adventure,
Goa,Ladakh,,4.0,city,
Pune,Himachal,3805.0,,City,
Manali,UP,,,City,3.7
Shimla,Maharashtra,,,Mountain,
Pune,Goa,7942.0,2.0,HISTORICAL,4.4
Kerala,Kerala,12579.0,7.0,Historical,3.9
Kerala,UP,,,HISTORICAL,4.2
Goa,Goa,,,Adventure,4.1
Pune,Goa,10273.0,,HISTORICAL,4.6
Manali,Himachal,13816.0,,HISTORICAL,
Delhi,Rajasthan,14794.0,5.0,Mountain,5.0
Delhi,Himachal,6565.0,6.0,City,4.6
Kerala,Goa,12855.0,7.0,City,
Mumbai,Ladakh,,6.0,Nature,
Pune,Goa,,7.0,Nature,4.4
Manali,UP,,,Historical,
Manali,Rajasthan,,,City,3.7
Jaipur,UP,9343.0,,Nature,
Shimla,Maharashtra,10643.0,1.0,city,
Pune,UP,4887.0,,HISTORICAL,
Shimla,Kerala,,6.0,City,
Mumbai,Goa,4519.0,,HISTORICAL,3.9
Delhi,Maharashtra,4561.0,,City,4.5
Ladakh,UP,,,Nature,
Agra,UP,14060.0,3.0,HISTORICAL,
Mumbai,Goa,,,Beach,
Agra,Ladakh,,,Historical,4.9
Kerala,Delhi,12930.0,2.0,Beach,
Goa,Himachal,,4.0,Mountain,4.4
Agra,Goa,14911.0,,Historical,3.8
Pune,Rajasthan,,,Nature,3.8
Ladakh,Kerala,6587.0,,Beach,4.0
Pune,Rajasthan,4088.0,4.0,Mountain,4.8
Ladakh,Delhi,6283.0,,City,4.8
Agra,Goa,14022.0,,Nature,
Delhi,Delhi,5401.0,2.0,Mountain,4.9
Shimla,UP,9726.0,,Adventure,4.6
Jaipur,Delhi,5238.0,7.0,Historical,
Jaipur,Maharashtra,8360.0,5.0,Adventure,4.5
Delhi,Kerala,,2.0,Mountain,
Mumbai,Himachal,,3.0,City,3.7
Ladakh,Kerala,,4.0,Nature,3.9
Kerala,Delhi,,4.0,Historical,3.7
Shimla,Goa,9233.0,,city,
Mumbai,Delhi,8015.0,,HISTORICAL,4.7
Kerala,UP,8920.0,5.0,Nature,
