city_name,hotel_name,rating_category,hotel_rating,num_reviews,location,availability_status,link,currency,link_domain
Nuremberg-Suburb,Novina Sleep Inn Herzogenaurach,Very Good,8.28,3545,Herzogenaurach,Available,https://www.booking.com/hotel/de/novina-sleep-inn-herzogenaurach.en-gb.html,Pkr,Booking.Com
Baden-Baden,"Roomers Baden-Baden, Autograph Collection",Fabulous,8.68,1210,Baden-Baden,Available,https://www.booking.com/hotel/de/roomers-baden-baden-autograph-collection.en-gb.html,Pkr,Booking.Com
Bucharest-Suburb,The City Retreat Apart-Hotel,Fabulous,8.68,181,"Sector 2, Bucharest",Available,https://www.booking.com/hotel/ro/the-city-retreat-apart.en-gb.html,Pkr,Booking.Com
Dublin,Arnold-Smith Hotel,Good,7.9,790,6127 Rodriguez Land Suite 584,Available,https://www.booking.com/hotel/483f846a.html,Pkr,Booking.Com
Sosnowiec,Apartament Kraju Centrum Z Fotelem MasujäCym,Superb,9.49,158,Sosnowiec,Available,https://www.booking.com/hotel/pl/apartament-kraju-marek-krajecki.en-gb.html,Pkr,Booking.Com
Doha,"The St. Regis Marsa Arabia Island, The Pearl Qatar",Superb,9.19,952,"The Pearl, Doha (West Bay)",Available,https://www.booking.comhttps://www.booking.com/hotel/qa/the-st-regis-marsa-arabia-island-the-pearl-qatar.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCC3NlYXJjaF9kb2hhSDNYBGi1AYgBAZgBM7gBF8gBDNgBA-gBAfgBAYgCAagCAbgC5q_0xwbAAgHSAiRlMzhjNmE5YS00NmYyLTQyZDYtYTcwOS1lZjZhNDQwYzNkNTbYAgHgAgE&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=21&hapos=21&sr_order=popularity&srpvid=7a6282731ef30319&srepoch=1761417191&from_sustainable_property_sr=1&from=searchresults,Pkr,Booking.Com
Barcelona,Hurley PLC Hotel,Average,6.3,1761,993 Orr Road Apt. 360,Available,https://www.booking.com/hotel/3d47f993.html,Pkr,Booking.Com
Teresina,Arrey Fã³Rmula Hotel - Teresina,Very Good,8.08,1190,Teresina,Available,https://www.booking.com/hotel/br/formula-flat-europa.en-gb.html,Pkr,Booking.Com
Reims-Suburb,Mm Suites Town House Terrasse,Exceptional,9.79,28,"Reims City Centre, Reims",Available,https://www.booking.com/hotel/fr/mm-suites-town-house-centre.en-gb.html,Pkr,Booking.Com
Halle,"Holiday Inn - The Niu, Ridge Halle Central Station By Ihg",Very Good,8.08,4714,Halle an der Saale,Available,https://www.booking.com/hotel/de/the-niu-ridge.en-gb.html,Pkr,Booking.Com
Brussels,Franco PLC Hotel,Poor,5.9,3287,9441 Glover Trail Apt. 386,Available,https://www.booking.com/hotel/2a711c66.html,Pkr,Booking.Com
Brussels-Suburb,Cep Ecuyer,Fabulous,8.98,18,"Brussels Centre, Brussels",Available,https://www.booking.com/hotel/be/cep-ecuyer-bruxelles2.en-gb.html,Pkr,Booking.Com
Kotor,Palma Apartments,Superb,9.39,215,Kotor,Available,https://www.booking.comhttps://www.booking.com/hotel/me/palma-apartments.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCDHNlYXJjaF9rb3RvckgzWARotQGIAQGYATO4ARnIAQzYAQPoAQH4AQGIAgGoAgG4Aqiu9McGwAIB0gIkYTNiZjIwNjAtZGVkYy00NTM5LTg1NDAtM2FiZDExZTI1YTM42AIB4AIB&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=16&hapos=66&sr_order=popularity&srpvid=67978214c74e0422&srepoch=1761417002&from=searchresults,Pkr,Booking.Com
Ilheus,Na Beira Da Praia - Conforto E Vista Privilegiada Do 10Âº Andar!,Exceptional,9.69,37,IlhÃ©us,Available,https://www.booking.com/hotel/br/san-marino-exclusive-apto-luxo-com-vista-mar.en-gb.html,Pkr,Booking.Com
Barcelona,Weber Inc Hotel,Poor,5.8,1184,04993 Jasmine Garden,Available,https://www.booking.com/hotel/78940935.html,Pkr,Booking.Com
Osaka,Mitsui Garden Hotel Osaka Premier,Very Good,8.58,3273,"Osaka Station, Umeda, Yodoyabashi, Hommachi, Osaka (Osaka Station, Umeda, Yodoyabashi, Hommachi)",Available,https://www.booking.com/hotel/jp/mitsui-garden-osaka-premier.en-gb.html,Pkr,Booking.Com
Kolkata-Suburb,Holiday Inn Express Kolkata New Town By Ihg,Very Good,8.18,60,"New Town, Kolkata",Available,https://www.booking.com/hotel/in/holiday-inn-express-kolkata-new-town-an-ihg.en-gb.html,Pkr,Booking.Com
Stirling-Suburb,Castle Brae Apartment,Fabulous,8.88,112,Stirling,Available,https://www.booking.com/hotel/gb/castle-brae-apartment.en-gb.html,Pkr,Booking.Com
Dublin,"Jackson, Marquez and Duncan Hotel",Poor,5.4,2451,5358 Dakota Station Apt. 416,Available,https://www.booking.com/hotel/f592bdfd.html,Pkr,Booking.Com
Le Puy,Meublé De Caractère La Jeune Fille À La Perle,Exceptional,9.89,15,Le Puy en Velay,Available,https://www.booking.com/hotel/fr/meuble-de-caractere-la-jeune-fille-a-la-perle.en-gb.html,Pkr,Booking.Com
Ulsan-Suburb,Ashton Hotel,Fabulous,8.68,222,Ulsan,Available,https://www.booking.com/hotel/kr/ashton.en-gb.html,Pkr,Booking.Com
Hanam,Hotel Folkloro Hanamakitowa,Very Good,8.38,406,Hanamaki,Available,https://www.booking.com/hotel/jp/hotel-folkloro-hanamakitowa.en-gb.html,Pkr,Booking.Com
Brussels,"Franco, Stanley and Rivera Hotel",Very Good,8.2,2513,48250 Bowman Stream Suite 435,Available,https://www.booking.com/hotel/24e14004.html,Pkr,Booking.Com
Enna,B&B A Casa Dei Nonni,Fabulous,8.88,342,Enna,Available,https://www.booking.com/hotel/it/b-amp-b-a-casa-dei-nonni-enna.en-gb.html,Pkr,Booking.Com
Neuquén,Hotel Casino Magic,Superb,9.29,710,Neuquén,Available,https://www.booking.com/hotel/ar/casino-magic-neuqua-c-n.en-gb.html,Pkr,Booking.Com
Swansea,Students Only - St Davids In Swansea,Very Good,8.28,41,Swansea,Available,https://www.booking.com/hotel/gb/for-student-only-inviting-modern-private-ensuite-rooms-at-st-davids-student-acco.en-gb.html,Pkr,Booking.Com
Brussels,Cummings Group Hotel,Average,6,2646,178 Julie Place,Available,https://www.booking.com/hotel/2a4d5cd8.html,Pkr,Booking.Com
Wakayama,Wakayama Urban Hotel,Good,7.77,1141,Wakayama,Available,https://www.booking.com/hotel/jp/wakayama-urban.en-gb.html,Pkr,Booking.Com
Komotini,Anatolia Hotel Komotini,Fabulous,8.98,998,Komotini,Available,https://www.booking.com/hotel/gr/anatolia-komotini.en-gb.html,Pkr,Booking.Com
Kobe-Suburb,Candeo Hotels Kobe Tor Road,Very Good,8.08,3052,"Chuo Ward, Kobe (Motomachi)",Available,https://www.booking.com/hotel/jp/candeo-hotels-kobe-torroad.en-gb.html,Pkr,Booking.Com
Berlin,Brown-Harrison Hotel,Excellent,9.4,980,01250 Michael Corner,Available,https://www.booking.com/hotel/9ce5b083.html,Pkr,Booking.Com
Sardinia Towns,B&B Alpolt,Very Good,8.58,94,Alghero,Available,https://www.booking.com/hotel/it/alpolt.en-gb.html,Pkr,Booking.Com
Muscat,Grand Millennium Muscat,Very Good,8.48,2939,Muscat,Available,https://www.booking.comhttps://www.booking.com/hotel/om/grand-millennium-muscat.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCDXNlYXJjaF9tdXNjYXRIM1gEaLUBiAEBmAEzuAEZyAEM2AED6AEB-AEBiAIBqAIBuAKnsPTHBsACAdICJDUwZGYyMmRjLTllZDMtNGZkZi1hY2I3LThkY2Y3MjQwMzVlM9gCAeACAQ&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=24&hapos=49&sr_order=popularity&srpvid=03ce8293a1cd01f1&srepoch=1761417256&from=searchresults,Pkr,Booking.Com
Leiden,De Doelen,Good,7.67,1520,Leiden,Available,https://www.booking.com/hotel/nl/de-doelen.en-gb.html,Pkr,Booking.Com
Berlin,Jefferson-Brooks Hotel,Average,6.6,1740,885 Martin Centers,Available,https://www.booking.com/hotel/35365afc.html,Pkr,Booking.Com
Warsaw,"Hotel Bristol, A Luxury Collection Hotel, Warsaw",Superb,9.29,1285,"Sródmiescie, Warsaw",Available,https://www.booking.com/hotel/pl/hotel-bristol-a-luxury-collection-hotel.en-gb.html,Pkr,Booking.Com
Kortrijk-Suburb,B&B Ar'Home,Superb,9.09,263,Kortrijk,Available,https://www.booking.com/hotel/be/b-amp-b-ar-39-home.en-gb.html,Pkr,Booking.Com
Quetzaltenango,Rã­O Rooms City Center,Very Good,8.58,276,Quetzaltenango,Available,https://www.booking.com/hotel/gt/rio-rooms-in-city-center.en-gb.html,Pkr,Booking.Com
Dublin,"Chung, Small and Davis Hotel",Very Good,8.8,339,7537 Robert Meadow,Available,https://www.booking.com/hotel/9f2c7635.html,Pkr,Booking.Com
Novi Sad-Suburb,Spa Pleasure Apartman,Exceptional,9.79,63,Novi Sad,Available,https://www.booking.com/hotel/rs/spa-apartman-novi-sad1.en-gb.html,Pkr,Booking.Com
Manta,Hostal Antares,Very Good,8.48,186,Manta,Available,https://www.booking.com/hotel/ec/hostal-antares.en-gb.html,Pkr,Booking.Com
Cres,Apartments Kremenic,Fabulous,8.88,156,Cres,Available,https://www.booking.com/hotel/hr/apartments-kremenic.en-gb.html,Pkr,Booking.Com
Rome,"Cummings, Gutierrez and Tran Hotel",Average,6.9,1399,3365 Bailey Locks Apt. 511,Available,https://www.booking.com/hotel/c78dba88.html,Pkr,Booking.Com
Augsburg,Limehome Augsburg Annastraße,Very Good,8.38,1469,Augsburg,Available,https://www.booking.com/hotel/de/limehome-augsburg-annastrasse.en-gb.html,Pkr,Booking.Com
Olsztyn,Centropark Apartament,Superb,9.29,14,Olsztyn,Available,https://www.booking.com/hotel/pl/centropark-apartament.en-gb.html,Pkr,Booking.Com
Tlaxcala,Loft Nizza En Valquirico A 50 Mts Plaza Del Zocalo,Exceptional,9.59,61,Santeagueda,Available,https://www.booking.com/hotel/mx/loft-nizza-en-val-quirico.en-gb.html,Pkr,Booking.Com
Phuket,"Rodriguez, Thomas and Mcfarland Hotel",Average,6,3779,040 Hanson Isle,Available,https://www.booking.com/hotel/2a721459.html,Pkr,Booking.Com
Tel Aviv,Sheraton Grand Tel Aviv,Very Good,8.48,291,"Tel Aviv Promenade, Tel Aviv (Tel Aviv Promenade)",Available,https://www.booking.com/hotel/il/sheraton-tel-aviv-towers.en-gb.html,Pkr,Booking.Com
Guayaquil,Hotel Cityzen Guayaquil,Fabulous,8.78,113,"Centro de Guayaquil, Guayaquil",Available,https://www.booking.comhttps://www.booking.com/hotel/ec/cityzen-guayaquil.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCEHNlYXJjaF9ndWF5YXF1aWxIM1gEaLUBiAEBmAEzuAEZyAEM2AED6AEB-AEBiAIBqAIBuALjnvjHBsACAdICJGMzYzczZjczLTEwNTUtNDA4MC1hOGFjLTk4NTc3NjJlMjM1YdgCAeACAQ&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=103&sr_order=popularity&srpvid=38325571e282055d&srepoch=1761480548&from=searchresults,Pkr,Booking.Com
Kurumkan,Kuru-Kuru Guesthouse,Good,7.47,164,Kuruman,Available,https://www.booking.com/hotel/za/kuru-kuru-guesthouse.en-gb.html,Pkr,Booking.Com
Rome,Simpson-Robinson Hotel,Poor,5.6,264,746 Schultz Heights Apt. 386,Available,https://www.booking.com/hotel/2fa2d7b4.html,Pkr,Booking.Com
Kotor-Suburb,Hotel Libertas,Superb,9.49,655,Kotor,Available,https://www.booking.com/hotel/me/libertas.en-gb.html,Pkr,Booking.Com
Albi,Le Patio St Étienne - Cité Épiscopale - Parking Inclus,Superb,9.19,114,Albi,Available,https://www.booking.com/hotel/fr/le-patio-st-etienne-hypercentre-wifi-albi.en-gb.html,Pkr,Booking.Com
Rome,Matthews LLC Hotel,Good,7.5,1176,08992 Thompson Road,Unavailable,https://www.booking.com/hotel/b7941508.html,Pkr,Booking.Com
Lorient-Suburb,Hã´Tel Escale Oceania Lorient,Very Good,8.28,222,Lorient,Available,https://www.booking.com/hotel/fr/hotel-mascotte-lorient.en-gb.html,Pkr,Booking.Com
Marbella,Iberostar Selection Marbella Coral Beach,Fabulous,8.78,995,Marbella,Available,https://www.booking.com/hotel/es/iberostar-marbella-coral-beach.en-gb.html,Pkr,Booking.Com
Beirut,Intercontinental Phoenicia Beirut By Ihg,Superb,9.09,623,Beirut,Available,https://www.booking.com/hotel/lb/intercontinental-phoenicia-beirut.en-gb.html,Pkr,Booking.Com
Berlin,Kerr Ltd Hotel,Average,6.2,2422,31162 Ronald Burgs,Available,https://www.booking.com/hotel/9d5ca69e.html,Pkr,Booking.Com
Norwalk,Courtyard By Marriott Norwalk,Very Good,8.38,137,Norwalk,Available,https://www.booking.com/hotel/us/courtyard-norwalk.en-gb.html,Pkr,Booking.Com
Paros,Kalypso Hotel,Fabulous,8.88,317,Naousa,Available,https://www.booking.com/hotel/gr/kalypso.en-gb.html,Pkr,Booking.Com
Oban,Little Bay Cabin,Exceptional,9.69,146,Oban,Available,https://www.booking.com/hotel/gb/little-bay-cabin.en-gb.html,Pkr,Booking.Com
Phuket,Dunlap-Marquez Hotel,Very Good,8.2,1284,89655 Michael Valley Suite 844,Available,https://www.booking.com/hotel/4c4bdffa.html,Pkr,Booking.Com
Rio De Janeiro,Sofisticado Em Copacabana - 2 Suites - A801,Superb,9.09,39,"Copacabana, Rio de Janeiro",Available,https://www.booking.com/hotel/br/sofisticado-em-copacabana-2-suites-a801.en-gb.html,Pkr,Booking.Com
Manizales,Hotel Portal De Milã¡N,Good,7.87,81,Manizales,Available,https://www.booking.com/hotel/co/portal-de-mila-n.en-gb.html,Pkr,Booking.Com
Rimini-Suburb,Hotel Continental,Very Good,8.18,608,"Rimini Central Marina, Rimini",Available,https://www.booking.com/hotel/it/continental-e-dei-congressi.en-gb.html,Pkr,Booking.Com
Amsterdam,Brown-Valenzuela Hotel,Good,7.9,2166,633 Harry Tunnel,Unavailable,https://www.booking.com/hotel/63e9140f.html,Pkr,Booking.Com
Hamar,Frichs Hotel Hamar,Good,7.77,1198,Hamar,Available,https://www.booking.com/hotel/no/frichs-hotel-hamar.en-gb.html,Pkr,Booking.Com
Ocala,Country Inn & Suites By Radisson Ocala Southwest,Good,7.27,552,Ocala,Available,https://www.booking.com/hotel/us/ocala-3720-south-west-college-road-florida.en-gb.html,Pkr,Booking.Com
Punta Del Este-Suburb,La Quinta Hostel & Suites,Superb,9.09,182,Punta del Este,Available,https://www.booking.com/hotel/uy/la-quinta-hostel-amp-bar.en-gb.html,Pkr,Booking.Com
Amsterdam,Perez-Davis Hotel,Average,6.7,1777,93800 Baker Mountains,Unavailable,https://www.booking.com/hotel/f693a378.html,Pkr,Booking.Com
Guelph,Nimo Homestay,Very Good,8.38,36,Guelph,Available,https://www.booking.com/hotel/ca/21-vipond.en-gb.html,Pkr,Booking.Com
Chang Mai,Amora Thapae Hotel Chiang Mai,Very Good,8.18,889,"Chang Moi, Chiang Mai",Available,https://www.booking.com/hotel/th/amora-tapae-chiang-mai.en-gb.html,Pkr,Booking.Com
Artemida,Euphoria Blue Studio Apartments,Superb,9.09,533,Artemida,Available,https://www.booking.com/hotel/gr/euphoria-blue-apartments.en-gb.html,Pkr,Booking.Com
Barcelona,"Knight, Snyder and Robinson Hotel",Very Good,8.5,2343,26492 Jacqueline Highway Apt. 994,Available,https://www.booking.com/hotel/d8adba98.html,Pkr,Booking.Com
Orel,Orelle 3 Vallées - 2 Pièces 3 Personnes,Superb,9.09,3,Orelle,Available,https://www.booking.com/hotel/fr/orelle-3-vallees-2-pieces-3-personnes.en-gb.html,Pkr,Booking.Com
Salta,Hotel Posada Del Sol,Very Good,8.18,1759,Salta,Available,https://www.booking.com/hotel/ar/posada-del-sol.en-gb.html,Pkr,Booking.Com
Taichung-Suburb,Taichung Charming City Hotel,Fabulous,8.68,1039,"Beitun District, Taichung",Available,https://www.booking.com/hotel/tw/tai-zhong-xiang-cheng-da-fan-dian.en-gb.html,Pkr,Booking.Com
Rome,"Schultz, Rosales and Gardner Hotel",Average,6.2,408,53493 Carol Mission,Available,https://www.booking.com/hotel/e23e24d4.html,Pkr,Booking.Com
Newmarket,The Cart Lodge,Exceptional,9.89,5,Newmarket,Available,https://www.booking.com/hotel/gb/the-cart-lodge-cambridgeshire.en-gb.html,Pkr,Booking.Com
Kochi (India),Holiday Inn Cochin By Ihg,Very Good,8.58,2151,"Ernakulam, Cochin",Available,https://www.booking.com/hotel/in/holiday-inn-cochin.en-gb.html,Pkr,Booking.Com
Blenheim,Central Blenheim Villa,Exceptional,9.89,4,Blenheim,Available,https://www.booking.com/hotel/nz/central-blenheim-villa.en-gb.html,Pkr,Booking.Com
Berlin,Myers-Chavez Hotel,Very Good,8.7,2402,9956 Elizabeth Cape Suite 425,Unavailable,https://www.booking.com/hotel/22e96988.html,Pkr,Booking.Com
Bratislava-Suburb,Art Hotel William,Fabulous,8.78,1194,"Stare Mesto, Bratislava",Available,https://www.booking.com/hotel/sk/euroagentur-art-william.en-gb.html,Pkr,Booking.Com
Bangalore,Olive Hotel Mahadevapura By Embassy Group,Superb,9.29,52,Bengaluru,Available,https://www.booking.com/hotel/in/olive-mahadevapura-by-embassy-group-560037.en-gb.html,Pkr,Booking.Com
Neuquén,Hotel El Cortijo,Good,7.87,500,Neuquén,Available,https://www.booking.com/hotel/ar/el-cortijo-neuquen.en-gb.html,Pkr,Booking.Com
Rome,"Diaz, Dawson and Villegas Hotel",Excellent,9.1,2208,0236 Catherine Fords,Available,https://www.booking.com/hotel/c10df5ce.html,Pkr,Booking.Com
Ksamil,Captain'S Residence,Exceptional,9.69,290,Ksamil,Available,https://www.booking.com/hotel/al/captain-39-s-residence.en-gb.html,Pkr,Booking.Com
Tbilisi-Suburb,Guesthouse Different,Superb,9.39,350,Tbilisi City,Available,https://www.booking.com/hotel/ge/new-different.en-gb.html,Pkr,Booking.Com
Paphos-Suburb,Aquamare Beach Hotel & Spa,Very Good,8.48,2147,"Yeroskipou, Paphos City",Available,https://www.booking.com/hotel/cy/aquamare-beach-spa.en-gb.html,Pkr,Booking.Com
Brussels,Clark-Dean Hotel,Very Good,8.5,1479,2122 Roth Lakes Apt. 488,Available,https://www.booking.com/hotel/dc56908d.html,Pkr,Booking.Com
Gothenburg,Spar Hotel Majorna,Very Good,8.18,6699,"Majorna-Linné, Gothenburg",Available,https://www.booking.com/hotel/se/spar-majorna.en-gb.html,Pkr,Booking.Com
Kansas City,Courtyard By Marriott Kansas City Downtown/Convention Center,Very Good,8.48,129,Kansas City,Available,https://www.booking.comhttps://www.booking.com/hotel/us/courtyard-by-marriott-kansas-city-downtown-convention-center.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCEnNlYXJjaF9rYW5zYXMgY2l0eUgzWARotQGIAQGYATO4AQfIAQ3YAQPoAQH4AQGIAgGoAgG4Auyh-McGwAIB0gIkYmI2NGRjOTItNmM0Ni00ZjE2LTgyZWYtN2ZkMjNmOGRjODU12AIB4AIB&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=19&hapos=19&sr_order=popularity&srpvid=e26e5636fac3064a&srepoch=1761480942&from=searchresults,Pkr,Booking.Com
Halle,13 Apartments 3Br R&P Living,Fabulous,8.98,13,Halle an der Saale,Available,https://www.booking.com/hotel/de/13-x-3-raum-wohnungen-in-holderlinstrasse-halle-saale.en-gb.html,Pkr,Booking.Com
Brussels,Rivera-Garcia Hotel,Average,6.8,3888,6599 Harris Highway,Available,https://www.booking.com/hotel/3a4e6efe.html,Pkr,Booking.Com
Bugibba,Seafront Apartment With Pool,Good,7.67,28,St Paul's Bay,Available,https://www.booking.com/hotel/mt/luxury-seafront-apartment-with-pool.en-gb.html,Pkr,Booking.Com
Bishkek,Damas International Hotel,Very Good,8.58,901,Bishkek,Available,https://www.booking.com/hotel/kg/business-damas.en-gb.html,Pkr,Booking.Com
Powys Towns,"Residential Two-Bedroom Unit On The Strand, Self-Check In, Wi-Fi",Superb,9.19,56,Townsville,Available,https://www.booking.com/hotel/au/the-strand-ocean-views.en-gb.html,Pkr,Booking.Com
Rome,Fernandez Group Hotel,Good,7.8,1183,94845 Avila Walk Suite 452,Available,https://www.booking.com/hotel/5ad0185e.html,Pkr,Booking.Com
Frankfurt,Hilton Garden Inn Frankfurt City Centre,Very Good,8.18,2494,"Bahnhofsviertel, Frankfurt/Main",Available,https://www.booking.com/hotel/de/hilton-garden-inn-frankfurt-city-centre.en-gb.html,Pkr,Booking.Com
Le Mans,Hotel Le Circuit Le Mans,Very Good,8.38,1033,Le Mans,Available,https://www.booking.com/hotel/fr/le-green-7.en-gb.html,Pkr,Booking.Com
Cairns,Pullman Reef Hotel Casino,Fabulous,8.98,1682,Cairns,Available,https://www.booking.com/hotel/au/reef-casino-cairns.en-gb.html,Pkr,Booking.Com
Amsterdam,Reid-Campbell Hotel,Very Good,8.5,106,61515 Freeman Union,Unavailable,https://www.booking.com/hotel/078ae1b0.html,Pkr,Booking.Com
Port Macquarie,Flightdeck 504,Fabulous,8.98,6,Port Macquarie,Available,https://www.booking.com/hotel/au/flightdeck-504.en-gb.html,Pkr,Booking.Com
Warangal,Hotel O Ragas,Good,7.77,46,Warangal,Available,https://www.booking.com/hotel/in/oyo-flagship-81336-ragas.en-gb.html,Pkr,Booking.Com
Chiang Mai,Lavana Hotel Chiangmai,Fabulous,8.68,1483,"Si Phum, Chiang Mai (Sunday Walking Street)",Available,https://www.booking.com/hotel/th/lavana-chiangmai.en-gb.html,Pkr,Booking.Com
Brussels,Schultz and Sons Hotel,Average,6.3,2166,53940 Stephen Orchard Apt. 737,Available,https://www.booking.com/hotel/b8c7f476.html,Pkr,Booking.Com
Vinh,Hotel Villagio D'Italia,Good,7.77,2311,Vinhedo,Available,https://www.booking.com/hotel/br/villagio-d-italia.en-gb.html,Pkr,Booking.Com
Freiburg,Black F House - Serviced Apartments,Fabulous,8.78,1005,Freiburg im Breisgau,Available,https://www.booking.com/hotel/de/blackf-house-freiburg.en-gb.html,Pkr,Booking.Com
Cahors,Ibis Budget Cahors,Good,7.97,2776,Cahors,Available,https://www.booking.com/hotel/fr/ibis-budget-cahors.en-gb.html,Pkr,Booking.Com
Barcelona,"Wood, Blackwell and Bennett Hotel",Poor,5.7,888,052 Spence Forks,Unavailable,https://www.booking.com/hotel/9329c42a.html,Pkr,Booking.Com
Rotterdam,Leonardo Hotel Rotterdam Savoy,Very Good,8.58,2635,"Centrum, Rotterdam",Available,https://www.booking.comhttps://www.booking.com/hotel/nl/hotel-savoy.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCEHNlYXJjaF9yb3R0ZXJkYW1IM1gEaLUBiAEBmAEzuAEZyAEM2AED6AEB-AEBiAIBqAIBuAKUq_THBsACAdICJDJiNmNjNTliLTI1ODMtNDYyMS1hNWVkLWQzMWRhYzgxYmZmMNgCAeACAQ&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=21&hapos=21&sr_order=popularity&srpvid=9a3a814a635a063b&srepoch=1761416597&from=searchresults,Pkr,Booking.Com
Le Mans-Suburb,"Le Nid Du Pilote, 5 Pers, 2 Ch Proche Circuit 24H",Fabulous,8.88,10,Le Mans,Available,https://www.booking.com/hotel/fr/le-nid-du-pilote-5-pers-2-ch-proche-circuit-24h.en-gb.html,Pkr,Booking.Com
Siem Reap,Sarai And Wander Resort,Superb,9.29,201,Siem Reap,Available,https://www.booking.comhttps://www.booking.com/hotel/kh/sarai-resort-amp-spa.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCEHNlYXJjaF9zaWVtIHJlYXBIM1gEaLUBiAEBmAEzuAEZyAEM2AED6AEB-AEBiAIBqAIBuALEqvjHBsACAdICJDc1YTQzMDYyLWM4ODItNDcxNC05YWQ1LTQzMTVhMTU1MTVkM9gCAeACAQ&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=8&sr_order=popularity&srpvid=9a3a586276130205&srepoch=1761482053&from=searchresults,Pkr,Booking.Com
Amsterdam,Craig-Mathis Hotel,Excellent,9.3,1196,4008 Joseph Ramp Apt. 663,Available,https://www.booking.com/hotel/2a2f947d.html,Pkr,Booking.Com
Jaén,La Carrera 7 - Castillo - Parking Sujeto A Disponibilidad,Superb,9.49,20,Jaén,Available,https://www.booking.com/hotel/es/la-carrera-7-jaen.en-gb.html,Pkr,Booking.Com
